object:position:rotation
tree:-48.0,0.0,-18.0:0.0
tree:22.0,0.0,-44.0:0.0
tree:-42.0,0.0,-45.0:0.0
tree:0.0,0.0,-41.0:90.0
tree:-42.0,0.0,8.0:0.0
tree:-20.0,0.0,-50.0:0.0
tree:-7.0,0.0,-69.0:180.0
tree:45.0,0.0,-44.0:180.0
tree:16.0,0.0,-66.0:180.0
tree:-37.0,0.0,-68.0:180.0
tree:46.0,0.0,3.0:0.0
tree:44.0,0.0,-20.0:180.0
carrot:-6.0,0.0,-10.0:0.0
carrot:-6.0,0.0,-6.0:0.0
carrot:-6.0,0.0,-2.0:0.0
carrot:-6.0,0.0,2.0:0.0
row:-6.0,0.0,-4.0:0.0
lettuce:10.0,0.0,-10.0:-135.0
lettuce:10.0,0.0,-6.0:-90.0
lettuce:10.0,0.0,-2.0:90.0
lettuce:10.0,0.0,2.0:-135.0
bucket:-14.0,0.0,-14.0:270.0
fence:-18.0,0.0,-8.0:0.0
gate:-8.0,0.0,-18.0:-90.0
fence:12.0,0.0,-18.0:90.0
fence:-18.0,0.0,12.0:0.0
fence:-18.0,0.0,32.0:0.0
lettuce:-6.0,0.0,18.0:-135.0
lettuce:-6.0,0.0,22.0:-90.0
row:-6.0,0.0,24.0:0.0
lettuce:-6.0,0.0,26.0:90.0
lettuce:-6.0,0.0,30.0:-135.0
row:10.0,0.0,24.0:0.0
tomato:10.0,0.0,18.0:0.0
tomato:10.0,0.0,22.0:0.0
tomato:10.0,0.0,26.0:0.0
tomato:10.0,0.0,30.0:0.0
fence:-8.0,0.0,42.0:90.0
fence:12.0,0.0,42.0:90.0
fence:22.0,0.0,32.0:-180.0
fence:22.0,0.0,12.0:0.0
fence:22.0,0.0,-8.0:0.0
player:2.0,0.0,10.0:0.0
long-hedge:-24.0,0.0,13.0:0.0
hedge:-24.0,0.0,-15.0:0.0
scarecrow:22.0,0.0,-21.0:0.0
hedge:7.0,0.0,-25.0:-90.0
row:10.0,0.0,-4.0:0.0
hedge:27.0,0.0,1.0:180.0
farmer:2.0,0.0,-14.0:0.0
