object:position:rotation
tree:-25.0,0.0,-6.0:0.0
long-hedge:-22.0,0.0,-21.0:90.0
long-hedge:53.0,0.0,-7.0:0.0
tree:42.0,0.0,-26.0:0.0
hedge:4.0,0.0,-33.0:0.0
hedge:-60.0,0.0,6.0:90.0
long-hedge:-13.0,0.0,-42.0:90.0
tree:-38.0,0.0,-35.0:90.0
tree:18.0,0.0,-35.0:90.0
tree:-25.0,0.0,16.0:90.0
tree:61.0,0.0,18.0:90.0
tree:67.0,0.0,-7.0:90.0
tree:64.0,0.0,-29.0:90.0
tree:34.0,0.0,-51.0:90.0
fence:6,0,-4:180.0
gate:-4,0,-14:-90.0
fence:-14,0,-4:0.0
fence:-14,0,16:0.0
fence:-4,0,26:270.0
fence:16,0,26:270.0
fence:16,0,6:270.0
fence:26,0,-4:540.0
fence:36,0,-14:630.0
player:38,0,-10:0.0
fence:46,0,-4:360.0
fence:46,0,16:360.0
row:3,0,14:270.0
lettuce:14,0,14:90.0
lettuce:10,0,14:90.0
lettuce:6,0,14:90.0
lettuce:2,0,14:90.0
lettuce:-2,0,14:90.0
tree:16,0,-9:0.0
scarecrow:16,0,4:0.0
bucket:-10,0,22:0.0
bucket:42,0,22:0.0
gate:36,0,26:-90.0
row:3,0,22:-90.0
row:17,0,22:-270.0
row:17,0,14:270.0
tomato:-2,0,22:270.0
tomato:2,0,22:360.0
tomato:6,0,22:180.0
tomato:10,0,22:270.0
tomato:14,0,22:360.0
row:-10,0,0:360.0
farmer:-2,0,-6:720.0
carrot:-10,0,-6:720.0
carrot:-10,0,-2:720.0
carrot:-10,0,2:720.0
carrot:-10,0,6:720.0
